utc,wave,run_id,tenant,phase,result,detail,evidence_sha256
2026-07-22T19:06:34Z,"rcw1","20260722T190634Z-1333720","-","run-start","INFO","mode=okapi module_to=mod-service-interaction-5.0.0-SNAPSHOT module_from=mod-service-interaction-4.4.0-SNAPSHOT tenants=2 run_dir=/home/taras_spashchenko/TS/github/mod-service-interaction/docs/migration/evidence/rcert/okapi-rollout/rollout-evidence/rcw1/20260722T190634Z-1333720",""
2026-07-22T19:06:35Z,"rcw1","20260722T190634Z-1333720","rcw1a","complete","PASS","okapi routing verified: /_/proxy/tenants/rcw1a/modules lists mod-service-interaction-5.0.0-SNAPSHOT; pre-capture retained in /home/taras_spashchenko/TS/github/mod-service-interaction/docs/migration/evidence/rcert/okapi-rollout/rollout-evidence/rcw1/20260722T190634Z-1333720/rcw1a/pre; catalog and counts unchanged; changelog EXECUTED=0 MARK_RAN=14; smoke 2/2 pass via okapi","catalog-after.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog-before.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog.diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;counts-after.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;counts-before.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;enable.json=d1eadce937a9ebe76214a06f0482ad31f2cbb026bf5f0608596fb3707727258e;okapi-modules.json=cbadf8e42f7c97fb154ceaaf14b0e45c49ba7a2ffdc314349b814382010e9a68;pre/manifest.json=21df907e8cbd453ee9eca0fa5b1f68c7ab15768e8c56297bbe75738a526b69b2;pre/numgen.json=1c52a75bee69118a2de3a1eac7142700728f253bbae2975158dc63753cce28d0;pre/settings.json=922e9b88752cb43b1056f7e2a47bf0e95b9ef9b24c8bb6cc2cc5b8c81f32dda1;smoke-numgen-list.json=490758cac92de21aba10668e5fc3e46caa764208524c87b028dfd04f4a6a41f3;smoke-settings-list.json=2c54e9ea157daaff2c30f065771dbf24c21d4b6fdab22bdaae03a719dfd184e9"
2026-07-22T19:06:36Z,"rcw1","20260722T190634Z-1333720","rcw1b","complete","PASS","okapi routing verified: /_/proxy/tenants/rcw1b/modules lists mod-service-interaction-5.0.0-SNAPSHOT; pre-capture retained in /home/taras_spashchenko/TS/github/mod-service-interaction/docs/migration/evidence/rcert/okapi-rollout/rollout-evidence/rcw1/20260722T190634Z-1333720/rcw1b/pre; catalog and counts unchanged; changelog EXECUTED=0 MARK_RAN=14; smoke 2/2 pass via okapi","catalog-after.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog-before.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog.diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;counts-after.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;counts-before.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;enable.json=d1eadce937a9ebe76214a06f0482ad31f2cbb026bf5f0608596fb3707727258e;okapi-modules.json=cbadf8e42f7c97fb154ceaaf14b0e45c49ba7a2ffdc314349b814382010e9a68;pre/manifest.json=6a30415ad11c9fed2aebce61ca214426df37f3c6548b971f31d6e7a29f874d1b;pre/numgen.json=fd52087570c2736620360a1f30b80be3d7bf672bf067aa65c7e13eaac11c3706;pre/settings.json=ad4bc4dfc56bd85e50c30f6e07c1ab279d1616bb3c5dcc32ae21959faf98e097;smoke-numgen-list.json=b9c6ed9300f3c67b0cd1291f9239937e9d6fc120136d6cc86656d8359f5f183a;smoke-settings-list.json=0168c3574103075b9db9f14d9f77f65f3475c7d0b033e0a5662d6a98e68ce887"
2026-07-22T19:06:48Z,"rcw2","20260722T190648Z-1334794","-","run-start","INFO","mode=okapi module_to=mod-service-interaction-5.0.0-SNAPSHOT module_from=mod-service-interaction-4.4.0-SNAPSHOT tenants=2 run_dir=/home/taras_spashchenko/TS/github/mod-service-interaction/docs/migration/evidence/rcert/okapi-rollout/rollout-evidence/rcw2/20260722T190648Z-1334794",""
2026-07-22T19:06:50Z,"rcw2","20260722T190648Z-1334794","rcw2ok","complete","PASS","okapi routing verified: /_/proxy/tenants/rcw2ok/modules lists mod-service-interaction-5.0.0-SNAPSHOT; pre-capture retained in /home/taras_spashchenko/TS/github/mod-service-interaction/docs/migration/evidence/rcert/okapi-rollout/rollout-evidence/rcw2/20260722T190648Z-1334794/rcw2ok/pre; catalog and counts unchanged; changelog EXECUTED=0 MARK_RAN=14; smoke 2/2 pass via okapi","catalog-after.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog-before.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog.diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;counts-after.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;counts-before.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;enable.json=d1eadce937a9ebe76214a06f0482ad31f2cbb026bf5f0608596fb3707727258e;okapi-modules.json=cbadf8e42f7c97fb154ceaaf14b0e45c49ba7a2ffdc314349b814382010e9a68;pre/manifest.json=d4133951cfa839ba290b9b08dd9e74412dbd81ffbbc96f535b024b40b54747f5;pre/numgen.json=6ed1930206ebc0be3887adf2edf39dd3293ced8756f60ed4c0b808bb18763657;pre/settings.json=783820682eb74285180d054ac4534b5dd0c3f9406e8cd5a3da67d9b0459a43a0;smoke-numgen-list.json=0a5760bcc76ce674ca87100137605f3ebd322bca44894302258c6524a1c9f881;smoke-settings-list.json=8a27f792986c83d64a592980c30cd00db6c69b14b95e999593f9c61a3f265262"
2026-07-22T19:06:52Z,"rcw2","20260722T190648Z-1334794","rcw2bad","post-verify-catalog","FAIL","catalog changed for adopted schema rcw2bad_mod_service_interaction (see /home/taras_spashchenko/TS/github/mod-service-interaction/docs/migration/evidence/rcert/okapi-rollout/rollout-evidence/rcw2/20260722T190648Z-1334794/rcw2bad/catalog.diff) — systemic-defect signal (runbook 3.3) | rollback: automatic Okapi rollback OK: install enable mod-service-interaction-4.4.0-SNAPSHOT -> 200; routing re-verified (mod-service-interaction-4.4.0-SNAPSHOT present as expected); legacy data untouched — the port never writes tenant_changelog (runbook Phase 6); manual completion per runbook Phase 6.1 (NEVER purge; export OKAPI_TOKEN first): curl --connect-timeout 5 --max-time 600 -sS -w '%{http_code}' -X POST 'http://localhost:9130/_/proxy/tenants/rcw2bad/install?deploy=true' -H 'Content-Type: application/json' -H ""X-Okapi-Token: $OKAPI_TOKEN"" -d '[{""id"": ""mod-service-interaction-4.4.0-SNAPSHOT"", ""action"": ""enable""}]' && curl --connect-timeout 5 --max-time 60 -sS -H ""X-Okapi-Token: $OKAPI_TOKEN"" 'http://localhost:9130/_/proxy/tenants/rcw2bad/modules'   # verify: lists mod-service-interaction-4.4.0-SNAPSHOT, not mod-service-interaction-5.0.0-SNAPSHOT | pre-capture retained in /home/taras_spashchenko/TS/github/mod-service-interaction/docs/migration/evidence/rcert/okapi-rollout/rollout-evidence/rcw2/20260722T190648Z-1334794/rcw2bad/pre","catalog-after.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog-before.txt=4e6cf8cf794ad3493e0841a5db213d4ec8f31c0f40f082193aba9ba46b34eb8b;catalog.diff=29f1335151ba843f69a38b0f5eb503c2d9b3d26c56cdc0e8bc58d03c2867fa69;counts-after.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;counts-before.txt=54502ffd6b25248e75428714f4ffc925f72e259d8d9e590d930a87bd2ead7370;enable.json=d1eadce937a9ebe76214a06f0482ad31f2cbb026bf5f0608596fb3707727258e;okapi-modules.json=cbadf8e42f7c97fb154ceaaf14b0e45c49ba7a2ffdc314349b814382010e9a68;pre/manifest.json=7ec37616abcebbe59d6c09f0de317040a06b32efcba63a12bf3a233c3194f19f;pre/numgen.json=35790026954dc1e81be2152411dd29f5072ad78b11872d04d58a5b7eea18112b;pre/settings.json=91187617991b776f3bd0f89cad5ad81ad41f938ff369754a9b23ddcc140adbf0;rollback-install.json=e9d5501c59e033f09e07caea40ffa883bc30dc92ffa96cb9ff7f10c818717d85;rollback-modules.json=ba44ffb39f791a45a53f7e45b65e92c35cb3aa5650a9bfb7982573d1fb3b1cdd"
2026-07-22T19:06:52Z,"rcw2","20260722T190648Z-1334794","-","stop-condition","ABORT","hard-stop failure (catalog/count/changelog verification or failed rollback) — aborts immediately regardless of MAX_FAILURES after tenant rcw2bad; not attempted: none",""
2026-07-22T19:07:37Z,"rcw2","20260722T190736Z-1336414","-","run-start","INFO","mode=okapi module_to=mod-service-interaction-5.0.0-SNAPSHOT module_from=mod-service-interaction-4.4.0-SNAPSHOT tenants=1 run_dir=/home/taras_spashchenko/TS/github/mod-service-interaction/docs/migration/evidence/rcert/okapi-rollout/rollout-evidence/rcw2/20260722T190736Z-1336414",""
2026-07-22T19:07:38Z,"rcw2","20260722T190736Z-1336414","rcw2bad","complete","PASS","okapi routing verified: /_/proxy/tenants/rcw2bad/modules lists mod-service-interaction-5.0.0-SNAPSHOT; pre-capture retained in /home/taras_spashchenko/TS/github/mod-service-interaction/docs/migration/evidence/rcert/okapi-rollout/rollout-evidence/rcw2/20260722T190736Z-1336414/rcw2bad/pre; catalog and counts unchanged; changelog EXECUTED=0 MARK_RAN=14; smoke 2/2 pass via okapi","catalog-after.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog-before.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog.diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;counts-after.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;counts-before.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;enable.json=d1eadce937a9ebe76214a06f0482ad31f2cbb026bf5f0608596fb3707727258e;okapi-modules.json=cbadf8e42f7c97fb154ceaaf14b0e45c49ba7a2ffdc314349b814382010e9a68;pre/manifest.json=6afb345fa74f51b308b1272c5fedefced534b4c3b37eb229b6b7f60324d2caf0;pre/numgen.json=35790026954dc1e81be2152411dd29f5072ad78b11872d04d58a5b7eea18112b;pre/settings.json=91187617991b776f3bd0f89cad5ad81ad41f938ff369754a9b23ddcc140adbf0;smoke-numgen-list.json=483a3f365808279c9d90c9186011499965edb9481f71220818b906f2f0ed2527;smoke-settings-list.json=914c3b1d65b4be0981ad1a74f56349e8c1425e8692ee4e83ac2b03d0730ea50f"
