utc,wave,run_id,tenant,phase,result,detail,evidence_sha256
2026-07-23T19:12:19Z,"lane1","20260723T191219Z-298245","-","run-start","INFO","mode=okapi module_to=mod-service-interaction-5.0.0-SNAPSHOT module_from=mod-service-interaction-4.4.0-SNAPSHOT tenants=1 run_dir=/tmp/claude-1000/-home-taras-spashchenko-TS-github-mod-service-interaction/6e1d3a81-6c4f-432a-a3c9-1b389217bd05/scratchpad/rver-lane/rollout-evidence/lane1/20260723T191219Z-298245",""
2026-07-23T19:12:22Z,"lane1","20260723T191219Z-298245","lanec","complete","PASS","okapi routing verified: /_/proxy/tenants/lanec/modules lists mod-service-interaction-5.0.0-SNAPSHOT; pre-capture retained in /tmp/claude-1000/-home-taras-spashchenko-TS-github-mod-service-interaction/6e1d3a81-6c4f-432a-a3c9-1b389217bd05/scratchpad/rver-lane/rollout-evidence/lane1/20260723T191219Z-298245/lanec/pre; catalog and counts unchanged; changelog EXECUTED=0 MARK_RAN=14; smoke 2/2 pass via okapi","catalog-after.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog-before.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog.diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;counts-after.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;counts-before.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;enable.json=d1eadce937a9ebe76214a06f0482ad31f2cbb026bf5f0608596fb3707727258e;okapi-modules.json=cbadf8e42f7c97fb154ceaaf14b0e45c49ba7a2ffdc314349b814382010e9a68;pre/manifest.json=bbc108b486e7c061672a3924f061c49e28c579f6cabbece67c10dd2731fadefc;pre/numgen.json=fde38f8553b6ae599723df8106b9336abb1650bc5b91e9351db02f5d14235071;pre/settings.json=4dee9ebc460211bea9445188cee3e7def05aded0c13de8ee456c491035eadfce;smoke-numgen-list.json=6fb3a471aa49f51669b05fb62738b65c29f258029e8f9e46cfe81291542e63fa;smoke-settings-list.json=e04f5bb3f43ac6e71ae1b547e832995b58aa31e57a13364c06ea5a7ab408d3fe"
2026-07-23T19:12:22Z,"lane2","20260723T191222Z-298702","-","run-start","INFO","mode=okapi module_to=mod-service-interaction-5.0.0-SNAPSHOT module_from=mod-service-interaction-4.4.0-SNAPSHOT tenants=1 run_dir=/tmp/claude-1000/-home-taras-spashchenko-TS-github-mod-service-interaction/6e1d3a81-6c4f-432a-a3c9-1b389217bd05/scratchpad/rver-lane/rollout-evidence/lane2/20260723T191222Z-298702",""
2026-07-23T19:12:24Z,"lane2","20260723T191222Z-298702","lanebad","post-verify-catalog","FAIL","catalog changed for adopted schema lanebad_mod_service_interaction (see /tmp/claude-1000/-home-taras-spashchenko-TS-github-mod-service-interaction/6e1d3a81-6c4f-432a-a3c9-1b389217bd05/scratchpad/rver-lane/rollout-evidence/lane2/20260723T191222Z-298702/lanebad/catalog.diff) — systemic-defect signal (runbook 3.3) | rollback: automatic Okapi rollback OK: install enable mod-service-interaction-4.4.0-SNAPSHOT -> 200; routing re-verified (mod-service-interaction-4.4.0-SNAPSHOT present as expected); legacy data untouched — the port never writes tenant_changelog (runbook Phase 6); manual completion per runbook Phase 6.1 (NEVER purge; export OKAPI_TOKEN first): curl --connect-timeout 5 --max-time 600 -sS -w '%{http_code}' -X POST 'http://localhost:9138/_/proxy/tenants/lanebad/install?deploy=true' -H 'Content-Type: application/json' -H ""X-Okapi-Token: $OKAPI_TOKEN"" -d '[{""id"": ""mod-service-interaction-4.4.0-SNAPSHOT"", ""action"": ""enable""}]' && curl --connect-timeout 5 --max-time 60 -sS -H ""X-Okapi-Token: $OKAPI_TOKEN"" 'http://localhost:9138/_/proxy/tenants/lanebad/modules'   # verify: lists mod-service-interaction-4.4.0-SNAPSHOT, not mod-service-interaction-5.0.0-SNAPSHOT | pre-capture retained in /tmp/claude-1000/-home-taras-spashchenko-TS-github-mod-service-interaction/6e1d3a81-6c4f-432a-a3c9-1b389217bd05/scratchpad/rver-lane/rollout-evidence/lane2/20260723T191222Z-298702/lanebad/pre","catalog-after.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog-before.txt=4e6cf8cf794ad3493e0841a5db213d4ec8f31c0f40f082193aba9ba46b34eb8b;catalog.diff=29f1335151ba843f69a38b0f5eb503c2d9b3d26c56cdc0e8bc58d03c2867fa69;counts-after.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;counts-before.txt=54502ffd6b25248e75428714f4ffc925f72e259d8d9e590d930a87bd2ead7370;enable.json=d1eadce937a9ebe76214a06f0482ad31f2cbb026bf5f0608596fb3707727258e;okapi-modules.json=cbadf8e42f7c97fb154ceaaf14b0e45c49ba7a2ffdc314349b814382010e9a68;pre/manifest.json=38801439257eeb0f208c6c0c28474e5bb488dda43e708a9806936886de3faf04;pre/numgen.json=69ecd72d3850d0da7870ca1722422dfe22450472c11a4637f3a7544f3a0ec2cf;pre/settings.json=455f9d4734059b8c548b8b678aa1de6ba465836c66bda1bacf2b91228297788f;rollback-install.json=e9d5501c59e033f09e07caea40ffa883bc30dc92ffa96cb9ff7f10c818717d85;rollback-modules.json=ba44ffb39f791a45a53f7e45b65e92c35cb3aa5650a9bfb7982573d1fb3b1cdd"
2026-07-23T19:12:24Z,"lane2","20260723T191222Z-298702","-","stop-condition","ABORT","hard-stop failure (catalog/count/changelog verification or failed rollback) — aborts immediately regardless of MAX_FAILURES after tenant lanebad; not attempted: none",""
2026-07-23T19:12:24Z,"lane2","20260723T191224Z-299199","-","run-start","INFO","mode=okapi module_to=mod-service-interaction-5.0.0-SNAPSHOT module_from=mod-service-interaction-4.4.0-SNAPSHOT tenants=1 run_dir=/tmp/claude-1000/-home-taras-spashchenko-TS-github-mod-service-interaction/6e1d3a81-6c4f-432a-a3c9-1b389217bd05/scratchpad/rver-lane/rollout-evidence/lane2/20260723T191224Z-299199",""
2026-07-23T19:12:25Z,"lane2","20260723T191224Z-299199","lanebad","complete","PASS","okapi routing verified: /_/proxy/tenants/lanebad/modules lists mod-service-interaction-5.0.0-SNAPSHOT; pre-capture retained in /tmp/claude-1000/-home-taras-spashchenko-TS-github-mod-service-interaction/6e1d3a81-6c4f-432a-a3c9-1b389217bd05/scratchpad/rver-lane/rollout-evidence/lane2/20260723T191224Z-299199/lanebad/pre; catalog and counts unchanged; changelog EXECUTED=0 MARK_RAN=14; smoke 2/2 pass via okapi","catalog-after.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog-before.txt=ddad5c0cfdcafbbc966e6ba48eff7f962174a7d7dd564331e32b3bd0c46819af;catalog.diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;counts-after.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;counts-before.txt=56be6316227262686bacf68761c8f073bc55cac2cffd3137c2429da60d872b28;enable.json=d1eadce937a9ebe76214a06f0482ad31f2cbb026bf5f0608596fb3707727258e;okapi-modules.json=cbadf8e42f7c97fb154ceaaf14b0e45c49ba7a2ffdc314349b814382010e9a68;pre/manifest.json=50181b5413b21a7b628c6d3b5f30d3556b56711aa076699bf98eab97fdea39f8;pre/numgen.json=69ecd72d3850d0da7870ca1722422dfe22450472c11a4637f3a7544f3a0ec2cf;pre/settings.json=455f9d4734059b8c548b8b678aa1de6ba465836c66bda1bacf2b91228297788f;smoke-numgen-list.json=d88257830878894225e3dce3652cd4e738b3946fb6031297a76480ab4fb5e25c;smoke-settings-list.json=bfe1fe6639e7206c8b28fdc280d9df51e7770c70886ed734b48b611bc91871d5"
